model,dataset,pred_len,mse,mae,rmse,mape,mspe,setting
MSF_PatchTST,Electricity,96,0.1901887208223343,0.2833312153816223,0.4361063241958618,2.6647329330444336,618420.0625,long_term_forecast_ECL_96_96_MSF_PatchTST_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Electricity,96,0.19834066927433014,0.2935681939125061,0.44535455107688904,2.818485736846924,1179448.75,long_term_forecast_ECL_96_96_PatchTST_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Electricity,96,0.16670213639736176,0.25922346115112305,0.4082917273044586,2.7368648052215576,876786.875,long_term_forecast_ECL_96_96_iTransformer_custom_ftM_sl96_ll48_pl96_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
MSF_PatchTST,Electricity,192,0.19740279784368917,0.29038489736414425,0.4443003464366072,2.808202512396775,684014.5208720808,long_term_forecast_ECL_96_192_MSF_PatchTST_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Electricity,192,0.19900760054588318,0.28982114791870117,0.44610267877578735,2.909919261932373,1201735.5,long_term_forecast_ECL_96_192_PatchTST_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Electricity,192,0.1782293737947452,0.26922407748767474,0.4221722086953915,2.7927447683180975,817035.1440160706,long_term_forecast_ECL_96_192_iTransformer_custom_ftM_sl96_ll48_pl192_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
MSF_PatchTST,Electricity,336,0.21317039933329238,0.3060588997385702,0.4617038004319353,2.713805365496741,520209.69306462613,long_term_forecast_ECL_96_336_MSF_PatchTST_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Electricity,336,0.2158423811197281,0.30849489569664,0.4645884037017822,2.7628371715545654,859343.6875,long_term_forecast_ECL_96_336_PatchTST_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Electricity,336,0.19529666082660224,0.28570592836249253,0.44192381789919655,2.7869905746990296,732915.4741462424,long_term_forecast_ECL_96_336_iTransformer_custom_ftM_sl96_ll48_pl336_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
MSF_PatchTST,Electricity,720,0.2543667279415665,0.33877211841536364,0.5043478243648588,2.915710329297129,355352.22397114243,long_term_forecast_ECL_96_720_MSF_PatchTST_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Electricity,720,0.2587826624362702,0.3402465000688209,0.5087068531445887,2.943450376640204,546498.5542381271,long_term_forecast_ECL_96_720_PatchTST_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Electricity,720,0.23747290432501278,0.3194775425358586,0.487311916871538,2.968082358272602,525092.506222576,long_term_forecast_ECL_96_720_iTransformer_custom_ftM_sl96_ll48_pl720_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
MSF_PatchTST,Weather,96,0.1656719485513077,0.2131930919673407,0.40702819134712,12.931551805430214,19479355.3559052,long_term_forecast_weather_96_96_MSF_PatchTST_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,96,0.1728722579117692,0.21352498638392725,0.4157790974926099,14.921795632080508,26730441.20413694,long_term_forecast_weather_96_96_PatchTST_custom_ftM_sl96_ll48_pl96_dm512_nh4_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,96,0.18625308573246002,0.2245265543460846,0.43157050013542175,15.85665512084961,27796146.0,long_term_forecast_weather_96_96_PatchTST_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Weather,96,0.19738821954245728,0.24242544345684708,0.4442839402256819,17.095350001714923,29575092.673077103,long_term_forecast_weather_96_96_iTransformer_custom_ftM_sl96_ll48_pl96_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
MSF_PatchTST,Weather,192,0.2150912098294768,0.2542406980210265,0.46377926843432404,14.630146759310414,20855084.09170276,long_term_forecast_weather_96_192_MSF_PatchTST_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,192,0.23356820182427102,0.26627291038651674,0.48328894237740533,17.471146430914313,29166685.245144144,long_term_forecast_weather_96_192_PatchTST_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,192,0.21975478286515393,0.2555084764387206,0.4687801007563716,15.68510505618343,24936034.61941329,long_term_forecast_weather_96_192_PatchTST_custom_ftM_sl96_ll48_pl192_dm512_nh16_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Weather,192,0.24976454818903374,0.2806367548860058,0.49976449272535733,17.64680711821597,29420021.16031753,long_term_forecast_weather_96_192_iTransformer_custom_ftM_sl96_ll48_pl192_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
MSF_PatchTST,Weather,336,0.27234193821881725,0.2966342948089514,0.5218639077564353,14.590721792658455,21366222.392361656,long_term_forecast_weather_96_336_MSF_PatchTST_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,336,0.2790600501755553,0.2981128307179591,0.5282613464711906,15.560186663098346,24511948.446506303,long_term_forecast_weather_96_336_PatchTST_custom_ftM_sl96_ll48_pl336_dm512_nh4_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,336,0.2820508914658679,0.29981997164968677,0.5310846368196579,15.773000060670151,25373015.775872488,long_term_forecast_weather_96_336_PatchTST_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Weather,336,0.2977749794293331,0.31585954948312883,0.5456876207404133,16.91466704730983,28832535.83685073,long_term_forecast_weather_96_336_iTransformer_custom_ftM_sl96_ll48_pl336_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
MSF_PatchTST,Weather,720,0.3525340231395648,0.34663111794240686,0.5937457563128892,15.62555015544027,28394743.19749417,long_term_forecast_weather_96_720_MSF_PatchTST_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,720,0.35451927432226105,0.3467192010961658,0.5954152116987448,15.479228820402335,28230181.309713017,long_term_forecast_weather_96_720_PatchTST_custom_ftM_sl96_ll48_pl720_dm512_nh4_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,Weather,720,0.35869965271929927,0.34971472376406465,0.5989153969629595,15.85313088589731,30057093.769754943,long_term_forecast_weather_96_720_PatchTST_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
iTransformer,Weather,720,0.36946022564023173,0.35997689189535775,0.6078323993011822,17.05879236194814,32471560.303509142,long_term_forecast_weather_96_720_iTransformer_custom_ftM_sl96_ll48_pl720_dm512_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
